"product_number","page_url","status","image_count","saved_count","saved_files","message"
"1051972","https://app.warehouserunner.com/costco/1051972","ok","3","3","01.jpg;02.jpg;03.jpg",""
"1069850","https://app.warehouserunner.com/costco/1069850","ok","3","3","01.jpg;02.jpg;03.jpg",""
"1106007","https://app.warehouserunner.com/costco/1106007","ok","4","4","01.webp;02.jpg;03.jpg;04.jpg",""
"1116624","https://app.warehouserunner.com/costco/1116624","ok","5","5","01.webp;02.jpg;03.jpg;04.jpg;05.jpg",""
"1197931","https://app.warehouserunner.com/costco/1197931","ok","4","4","01.webp;02.jpg;03.jpg;04.jpg",""
"1199824","https://app.warehouserunner.com/costco/1199824","ok","5","5","01.jpg;02.jpg;03.jpg;04.jpg;05.jpg",""
"1235761","https://app.warehouserunner.com/costco/1235761","ok","3","3","01.jpg;02.jpg;03.jpg",""
"1241036","https://app.warehouserunner.com/costco/1241036","ok","6","6","01.jpg;02.jpg;03.jpg;04.jpg;05.jpg;06.jpg",""
"1274751","https://app.warehouserunner.com/costco/1274751","ok","2","2","01.jpg;02.jpg",""
"1274752","https://app.warehouserunner.com/costco/1274752","ok","3","3","01.jpg;02.jpg;03.jpg",""
"1308590","https://app.warehouserunner.com/costco/1308590","ok","5","5","01.jpg;02.jpg;03.jpg;04.jpg;05.jpg",""
"1351728","https://app.warehouserunner.com/costco/1351728","ok","3","3","01.jpg;02.jpg;03.jpg",""
"1408247","https://app.warehouserunner.com/costco/1408247","ok","3","3","01.jpg;02.jpg;03.jpg",""
"1423302","https://app.warehouserunner.com/costco/1423302","ok","4","4","01.webp;02.jpg;03.jpg;04.jpg",""
"1562786","https://app.warehouserunner.com/costco/1562786","ok","2","2","01.jpg;02.jpg",""
"1563168","https://app.warehouserunner.com/costco/1563168","ok","2","2","01.jpg;02.jpg",""
"1687275","https://app.warehouserunner.com/costco/1687275","ok","4","4","01.jpg;02.jpg;03.jpg;04.jpg",""
"1698212","https://app.warehouserunner.com/costco/1698212","ok","4","4","01.jpg;02.jpg;03.jpg;04.jpg",""
"1862992","https://app.warehouserunner.com/costco/1862992","ok","2","2","01.jpg;02.jpg",""
"1938952","https://app.warehouserunner.com/costco/1938952","ok","4","4","01.jpg;02.jpg;03.jpg;04.jpg",""
"1966263","https://app.warehouserunner.com/costco/1966263","ok","4","4","01.jpg;02.jpg;03.jpg;04.jpg",""
"1969459","https://app.warehouserunner.com/costco/1969459","ok","5","5","01.jpg;02.jpg;03.jpg;04.jpg;05.jpg",""
"1985130","https://app.warehouserunner.com/costco/1985130","ok","5","5","01.jpg;02.jpg;03.jpg;04.jpg;05.jpg",""
"1999423","https://app.warehouserunner.com/costco/1999423","ok","4","4","01.jpg;02.jpg;03.jpg;04.jpg",""
"2051218","https://app.warehouserunner.com/costco/2051218","ok","2","2","01.jpg;02.jpg",""
"2054350","https://app.warehouserunner.com/costco/2054350","ok","3","3","01.jpg;02.jpg;03.jpg",""
"294017","https://app.warehouserunner.com/costco/294017","ok","3","3","01.jpg;02.jpg;03.jpg",""
"311676","https://app.warehouserunner.com/costco/311676","ok","5","5","01.jpg;02.jpg;03.jpg;04.jpg;05.jpg",""
"529688","https://app.warehouserunner.com/costco/529688","ok","5","5","01.jpg;02.jpg;03.jpg;04.jpg;05.jpg",""
"553486","https://app.warehouserunner.com/costco/553486","ok","5","5","01.jpg;02.jpg;03.jpg;04.jpg;05.jpg",""
"580664","https://app.warehouserunner.com/costco/580664","ok","4","4","01.jpg;02.jpg;03.jpg;04.jpg",""
"588153","https://app.warehouserunner.com/costco/588153","ok","2","2","01.jpg;02.jpg",""
"654260","https://app.warehouserunner.com/costco/654260","ok","4","4","01.jpg;02.jpg;03.jpg;04.jpg",""
"778152","https://app.warehouserunner.com/costco/778152","ok","3","3","01.jpg;02.jpg;03.jpg",""
"808620","https://app.warehouserunner.com/costco/808620","ok","2","2","01.jpg;02.jpg",""
"853467","https://app.warehouserunner.com/costco/853467","ok","3","3","01.jpg;02.jpg;03.jpg",""
"853472","https://app.warehouserunner.com/costco/853472","ok","3","3","01.jpg;02.jpg;03.jpg",""
"855643","https://app.warehouserunner.com/costco/855643","ok","2","2","01.jpg;02.jpg",""
"870735","https://app.warehouserunner.com/costco/870735","ok","4","4","01.webp;02.jpg;03.jpg;04.jpg",""
"897980","https://app.warehouserunner.com/costco/897980","ok","4","4","01.jpg;02.jpg;03.jpg;04.jpg",""
"935195","https://app.warehouserunner.com/costco/935195","ok","2","2","01.jpg;02.jpg",""
